Timestamp,Rating,Ulasan
2024-05-18 08:44:54,4,Pengalaman yang cukup memuaskan. Pelayanan baik dan cepat.
2024-05-19 09:15:23,5,Luar biasa! Saya sangat puas dengan semua aspek pelayanannya.
2024-05-19 10:32:10,3,"Cukup baik, tetapi ada beberapa hal yang bisa diperbaiki."
2024-05-19 11:45:27,2,Agak mengecewakan. Tidak sesuai dengan harapan saya.
2024-05-19 12:53:56,4,Pelayanan yang ramah dan tempat yang bersih. Bagus sekali.
2024-05-19 13:24:12,1,Sangat buruk. Saya tidak akan kembali lagi.
2024-05-19 14:35:47,5,Hebat! Pengalaman terbaik yang pernah saya rasakan.
2024-05-19 15:45:19,3,"Lumayan, tetapi ada beberapa kekurangan kecil."
2024-05-19 16:56:33,2,Tidak terlalu baik. Banyak hal yang perlu diperbaiki.
2024-05-19 17:21:44,4,Menyerahkan pengalaman yang menyenangkan dan memuaskan.
2024-05-19 18:30:22,5,Mengesankan! Saya sangat merekomendasikan tempat ini.
2024-05-19 19:45:11,1,Tidak puas sama sekali. Pelayanan sangat buruk.
2024-05-19 20:55:36,3,Biasa saja. Tidak ada yang istimewa.
2024-05-19 21:34:59,4,"Baik, tetapi bisa lebih baik lagi jika ada peningkatan."
2024-05-19 22:47:48,2,Saya kecewa dengan kualitas pelayanannya.
2024-05-19 23:59:59,5,Sangat baik! Semua kebutuhan saya terpenuhi dengan sempurna.
2024-05-20 08:12:15,3,"Ok, tidak terlalu buruk tapi tidak juga luar biasa."
2024-05-20 09:21:34,1,Tidak baik. Banyak masalah yang saya hadapi.
2024-05-20 10:32:47,4,Memuaskan! Saya akan kembali lagi.
2024-05-20 11:45:56,2,Buruk. Tidak sebanding dengan harga yang saya bayar.
2024-05-20 12:53:11,5,Luar biasa sekali! Pengalaman yang tak terlupakan.
2024-05-20 13:15:26,3,"Cukup baik, meskipun ada beberapa kekurangan."
2024-05-20 14:26:39,1,Sangat tidak baik. Saya tidak akan merekomendasikan tempat ini.
2024-05-20 15:38:47,4,Menarik dan menyenangkan. Saya puas dengan pelayanannya.
2024-05-20 16:49:55,5,Top! Segala sesuatunya sempurna.
2024-05-20 17:57:23,2,Saya tidak suka dengan pelayanannya. Perlu banyak perbaikan.
2024-05-20 18:12:36,3,"Sedang, tidak terlalu baik tapi juga tidak terlalu buruk."
2024-05-20 19:24:47,4,Cukup memuaskan. Saya akan merekomendasikannya kepada teman.
2024-05-20 20:36:58,1,Sangat mengecewakan. Pelayanan yang sangat buruk.
2024-05-20 21:48:11,5,Spektakuler! Pengalaman yang sangat memuaskan.
2024-05-30 20:09:26,3,ya bagus sih
2024-05-30 20:11:06,3,"wauo, diluar, lunur"
2024-05-31 14:12:16,5,wauu aku sangat menyukai mekaniknya ehe 
2024-06-08 13:00:08,4,wah bagusss sekaliii
2024-06-10 06:22:58,5,sangat memuaskann
2024-06-10 13:49:02,1,adudug
